label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
1,54982665,5,1245.5,3,77000.0,2,15,5,109,5,151300,244.94897430000003
0,59004779,4,1277.0,1,113000.0,2,8,-1,100,3,341759,207.17383999999998
0,58990862,7,1298.0,1,110000.0,2,11,-1,101,5,72001,1.0
1,58995168,7,1335.5,1,151000.0,2,11,5,110,3,60084,1.0
0,54987320,7,,2,59000.0,2,11,5,108,4,450081,197.40314080000002
0,59005995,6,1217.0,3,56000.0,2,6,-1,100,3,60091,1.0
1,59001917,4,1304.0,3,35000.0,2,8,9,85,5,60069,1.0
1,54984789,5,1256.0,3,78000.0,2,15,-1,111,3,60030,1.0
0,58984557,5,1323.5,3,218000.0,2,15,5,112,4,151300,282.8427125
0,54990497,4,,2,35000.0,2,8,5,101,3,60029,237.301496
0,58996401,7,1314.5,1,483000.0,2,11,9,101,3,151300,282.8427125
0,59001833,4,1250.0,3,95000.0,2,8,9,111,4,60047,1.0
0,58989327,7,1223.0,3,81000.0,2,11,5,114,4,151300,194.93588689999999
0,59003965,4,,2,76000.0,2,8,9,113,4,60091,158.4077018
0,58992002,7,1365.5,1,96000.0,2,11,-1,78,3,60025,178.8854382
0,54987675,7,1257.5,3,126000.0,2,11,5,105,3,151300,1.0
0,58998405,4,1214.0,3,81000.0,2,8,5,111,1,60043,202.4845673
1,58993173,7,1241.0,3,78000.0,1,11,5,105,5,60074,1.0
1,54985924,7,1241.0,1,111000.0,2,11,5,90,5,350068,223.6067977
1,59000383,4,,2,47000.0,2,8,9,107,5,151300,1.0
0,58994740,7,,2,77000.0,2,11,9,114,5,510000,159.69971819999998
0,59004503,4,1305.5,1,129000.0,2,8,5,81,5,60014,1.0
0,58991241,7,1277.0,1,150000.0,2,11,5,95,5,60015,1.0
0,54991685,4,1304.0,1,35000.0,2,8,5,105,3,340019,181.65902119999998
0,59003773,4,1320.5,3,164000.0,1,8,5,105,5,151300,187.08286930000003
0,58991607,7,1290.5,3,119000.0,2,11,9,85,3,151300,200.0
1,59004540,4,,2,34000.0,2,8,5,100,5,72049,163.29421299999998
0,54984058,5,1455.5,3,35000.0,2,15,5,92,5,60058,1.0
1,58990737,7,1242.5,3,71000.0,1,11,5,108,5,60005,173.20508080000002
1,58994089,7,1239.5,3,79000.0,2,11,8,111,5,71003,1.0
0,58990628,7,1335.5,3,150000.0,2,11,9,105,5,350050,412.3105626
0,58998166,4,1355.0,3,177000.0,2,8,5,87,5,151101,1.0
0,58985693,5,,3,227000.0,2,15,-1,110,4,450080,183.0300522
0,58983409,5,1338.5,3,30000.0,2,15,5,110,4,71000,223.6067977
0,58992481,7,1259.0,3,74000.0,2,11,5,95,5,60036,207.31859540000002
0,59003975,4,1364.0,1,200000.0,2,8,5,90,3,60022,212.1320344
0,58994549,7,,2,90000.0,2,11,2,114,4,151300,173.20508080000002
0,58989033,7,1335.5,3,126000.0,2,11,5,83,5,60051,1.0
1,54986575,7,1272.5,3,50000.0,2,11,5,79,3,60011,1.0
0,54988158,7,1347.5,1,392000.0,2,11,4,114,4,60018,1.0
0,58998578,4,1191.5,3,50000.0,2,8,5,106,5,60090,1.0
0,54983799,5,1298.0,1,127000.0,2,15,-1,113,4,151300,1.0
0,58984960,5,1469.0,3,110000.0,2,15,5,82,5,350066,223.6067977
0,54989325,4,,2,49000.0,2,8,-1,113,4,72001,180.7235458
0,54988244,7,1400.0,1,100000.0,2,11,5,94,5,60028,205.55534530000003
1,58995842,7,1302.5,1,92000.0,2,11,-1,105,4,60075,212.1320344
0,58994057,7,1314.5,1,127000.0,2,11,-1,109,3,340012,500.0
1,58989594,7,1317.5,3,127000.0,2,11,9,88,5,71000,200.0
0,59002949,4,1314.5,3,89000.0,2,8,5,111,4,151009,1.0
0,59002060,4,1280.0,3,96000.0,2,8,9,112,4,60062,1.0
0,59004373,4,1287.5,1,139000.0,2,8,5,100,3,60030,244.94897430000003
0,54984810,5,1241.0,3,60000.0,2,15,5,90,5,60000,200.0
0,58988486,7,1187.0,3,90000.0,2,11,5,100,5,60093,1.0
0,58983605,5,1350.5,1,237000.0,2,15,8,86,3,60085,223.6067977
0,58991407,7,1302.5,1,92000.0,2,11,-1,105,4,591003,167.33200530000002
0,54984606,5,1205.0,3,61000.0,2,15,5,76,5,60069,1.0
0,54982353,1,1130.0,2,1000000.0,2,4,-1,100,5,650018,1.0
0,59004654,4,1352.0,1,168000.0,2,8,5,105,3,60017,223.6067977
0,58989220,7,1223.0,3,73000.0,2,11,9,111,4,350092,200.0
1,54988224,7,1235.0,3,101000.0,2,11,5,112,3,60013,1.0
0,54983094,5,1334.0,3,102000.0,2,15,9,84,5,72000,200.0
0,54992131,4,1214.0,3,68000.0,2,8,9,110,5,60091,1.0
1,58996840,7,1241.0,3,55000.0,2,11,9,113,4,151300,212.1320344
0,58998646,4,1293.5,1,458000.0,2,8,-1,75,5,340017,200.0
0,58998781,4,1382.0,3,76000.0,2,8,5,100,5,60018,173.20508080000002
1,58995151,7,,2,126000.0,2,11,9,115,4,450028,224.26769720000001
0,58998842,4,1323.5,1,103000.0,2,8,-1,85,5,350069,204.0171561
1,58987028,5,1206.5,3,49000.0,2,15,2,102,4,551201,158.11388300000002
1,54985084,7,1214.0,3,59000.0,2,11,9,86,5,60018,200.0
0,54982463,5,1272.5,3,70000.0,2,15,5,113,5,60033,167.1227094
0,59003131,4,1322.0,3,35000.0,2,8,5,95,3,151300,173.20508080000002
0,59002005,4,1239.5,3,68000.0,2,8,5,84,5,60052,1.0
0,58997354,4,1328.0,3,148000.0,2,8,2,110,5,60064,1.0
0,58984516,5,1371.5,3,82000.0,2,15,5,115,5,151300,1.0
0,59001893,4,1313.0,3,133000.0,2,8,5,80,5,60074,1.0
0,54983792,5,1212.5,3,125000.0,2,15,10,113,4,550005,187.08286930000003
0,59003954,4,1322.0,1,104000.0,2,8,5,114,3,60019,212.1320344
1,54986544,7,1214.0,3,51000.0,2,11,9,111,5,72000,1.0
0,58997872,4,1305.5,3,91000.0,2,8,2,95,5,60091,1.0
0,59003122,4,1278.5,3,115000.0,2,8,5,99,3,72000,173.20508080000002
1,54988011,7,1241.0,3,75000.0,2,11,5,110,4,450059,194.93588689999999
0,58998566,4,1281.5,3,304000.0,2,8,5,84,3,60024,1.0
0,58987375,5,1230.5,3,58000.0,2,15,-1,92,3,340020,122.4744871
0,58993203,7,,2,58000.0,2,11,5,113,4,510010,187.08286930000003
