,ngram,ngram_index
0,normally xs tanks,7118
1,xs tanks ordered,12897
2,tanks ordered size,10840
3,ordered size looks,7413
4,size looks pretty,9684
5,looks pretty much,6095
6,pretty much pic,8153
7,much pic love,6843
8,pic love cotton,7898
9,love cotton denim,6186
10,cotton denim stretch,1976
11,denim stretch love,2339
12,stretch love look,10474
13,love look fabric,6237
14,look fabric neck,5939
15,fabric neck area,3200
16,neck area feels,6904
17,area feels slightly,354
18,feels slightly restrictive,3387
19,slightly restrictive front,9939
20,restrictive front think,8670
21,front think wld,3971
22,think wld creep,10995
23,wld creep pull,12548
24,creep pull wearing,2085
25,pull wearing fabric,8274
26,wearing fabric slightly,12256
27,fabric slightly stiff,3218
28,slightly stiff flared,9941
29,stiff flared bottom,10356
30,flared bottom sticks,3738
31,bottom sticks armholes,1054
32,sticks armholes cover,10352
33,armholes cover bra,382
34,cover bra length,2045
35,bra length hits,1149
36,length hits top,5471
37,hits top hips,4764
38,top hips going,11284
39,hips going return,4731
40,going return try,4216
41,return try local,8724
42,try local store,11516
43,ordered shirt last,7405
44,shirt last week,9317
45,last week wore,5340
46,week wore soon,12302
47,wore soon arrived,12597
48,soon arrived beautiful,10235
49,arrived beautiful shirt,432
50,beautiful shirt original,671
51,shirt original design,9326
52,original design rather,7449
53,design rather casual,2366
54,rather casual dress,8448
55,casual dress right,1410
56,dress right accessories,2666
57,right accessories print,8803
58,accessories print appears,42
59,print appears navy,8203
60,appears navy advertised,339
61,navy advertised black,6887
62,advertised black looks,109
63,black looks great,894
64,looks great jeans,6074
65,great jeans would,4418
66,jeans would certainly,5134
67,would certainly recommend,12726
68,certainly recommend item,1446
69,love material thick,6247
70,material thick cotton,6578
71,thick cotton structured,10908
72,cotton structured enough,1985
73,structured enough thick,10506
74,enough thick enough,2922
75,thick enough cling,10909
76,enough cling bad,2905
77,cling bad way,1542
78,bad way like,580
79,way like wearing,12095
80,like wearing sweater,5685
81,wearing sweater beef,12269
82,sweater beef seam,10711
83,beef seam black,695
84,seam black material,9087
85,black material stitched,900
86,material stitched gray,6574
87,stitched gray material,10391
88,gray material creates,4358
89,material creates bump,6533
90,creates bump silhouette,2080
91,bump silhouette black,1227
92,silhouette black material,9543
93,black material gray,899
94,material gray also,6540
95,gray also herringbone,4354
96,also herringbone pattern,187
97,herringbone pattern thats,4647
98,pattern thats really,7648
99,thats really visible,10897
100,really visible pictures,8530
101,visible pictures would,11872
102,pictures would preferred,7937
103,would preferred uniform,12787
104,preferred uniform material,8108
105,uniform material rather,11699
106,material rather panel,6559
107,rather panel sewn,8450
108,panel sewn huge,7543
109,beautiful simple yet,672
110,simple yet feminine,9564
111,yet feminine top,12957
112,feminine top little,3420
113,top little tight,11297
114,little tight bust,5830
115,tight bust size,11104
116,bust size busty,1256
117,size busty reference,9613
118,busty reference probably,1267
119,reference probably small,8606
120,probably small xsmall,8230
121,small xsmall went,10063
122,xsmall went small,12901
123,photo mila turtleneck,7884
124,mila turtleneck model,6722
125,turtleneck model hands,11596
126,model hands sides,6759
127,hands sides hair,4509
128,sides hair bit,9534
129,hair bit extra,4498
130,bit extra fabric,819
131,extra fabric falls,3116
132,fabric falls bottom,3169
133,falls bottom sweater,3286
134,bottom sweater bit,1057
135,sweater bit pleat,10712
136,bit pleat well,843
137,pleat well representative,8021
138,well representative abundance,12387
139,representative abundance fabric,8659
140,abundance fabric xl,34
141,fabric xl usually,3248
142,xl usually wear,12855
143,usually wear xl,11811
144,wear xl well,12245
145,xl well retailer,12856
146,well retailer clothing,12389
147,retailer clothing excess,8674
148,clothing excess added,1576
149,excess added appearance,3066
150,added appearance excessive,76
151,appearance excessive pounds,332
152,excessive pounds breasts,3067
153,pounds breasts bottom,8096
154,breasts bottom sweater,1173
155,bottom sweater bummer,1058
156,sweater bummer ill,10713
157,bummer ill returning,1226
158,wanted love zipper,11993
159,love zipper extremely,6318
160,zipper extremely short,12976
161,extremely short flattering,3130
162,short flattering thicker,9374
163,flattering thicker thighs,3818
164,thicker thighs large,10925
165,thighs large behind,10931
166,large behind fabric,5267
167,behind fabric soft,699
168,fabric soft however,3222
169,soft however color,10147
170,however color great,4852
171,color great would,1631
172,great would work,4474
173,would work less,12824
174,work less curvy,12625
175,less curvy woman,5508
176,wore dress party,12584
177,dress party able,2648
178,party able find,7613
179,able find outfit,1
180,find outfit top,3465
181,purchased blue stripes,8302
182,blue stripes black,960
183,stripes black cat,10497
184,black cat prints,876
185,cat prints sale,1428
186,prints sale pleased,8217
187,sale pleased fit,9006
188,pleased fit little,8019
189,fit little differently,3570
190,little differently black,5766
191,differently black cats,2443
192,black cats fit,877
193,cats fit tighter,1430
194,fit tighter arms,3630
195,tighter arms stripes,11132
196,arms stripes remain,405
197,stripes remain bit,10500
198,remain bit looser,8647
199,bit looser throughout,839
200,looser throughout complaints,6132
201,throughout complaints like,11077
202,complaints like variation,1860
203,like variation ordered,5678
204,variation ordered size,11819
205,ordered size small,7414
206,size small normally,9732
207,small normally size,10022
208,normally size small,7107
209,size small lbs,9731
210,got top cannot,4333
211,top cannot wait,11242
212,cannot wait wear,1362
213,wait wear springsummer,11953
214,wear springsummer lovely,12212
215,springsummer lovely lightweight,10304
216,lovely lightweight material,6354
217,lightweight material hangs,5551
218,material hangs loosely,6541
219,hangs loosely comfortably,4527
220,loosely comfortably definitely,6127
221,comfortably definitely runs,1815
222,definitely runs quite,2308
223,runs quite large,8948
224,quite large would,8416
225,large would least,5316
226,would least consider,12754
227,least consider ordering,5395
228,consider ordering small,1920
229,ordering small side,7447
230,small side normally,10037
231,side normally wear,9521
232,normally wear sizing,7114
233,wear sizing one,12204
234,sizing one completely,9811
235,one completely coming,7196
236,completely coming someone,1867
237,coming someone usually,1838
238,someone usually likes,10215
239,usually likes tops,11781
240,likes tops roomier,5708
241,tops roomier side,11376
242,roomier side trust,8876
243,side trust overall,9530
244,trust overall highly,11499
245,overall highly recommend,7472
246,highly recommend top,4701
247,recommend top looking,8576
248,top looking muted,11299
249,looking muted unique,6037
250,muted unique comfy,6875
251,unique comfy top,11703
252,comfy top warmer,1831
253,top warmer months,11351
254,warmer months ahe,12027
255,skirt inch longer,9861
256,inch longer model,4955
257,longer model photo,5914
258,model photo ft,6767
259,photo ft ordered,7879
260,ft ordered petite,3976
261,ordered petite length,7393
262,petite length actually,7835
263,length actually works,5454
264,actually works bit,65
265,works bit tummy,12656
266,bit tummy ordered,864
267,tummy ordered size,11574
268,ordered size fits,7409
269,size fits great,9644
270,fits great really,3670
271,great really love,4442
272,really love colors,8510
273,love colors many,6182
274,colors many tops,1707
275,many tops go,6518
276,tops go skirt,11364
277,go skirt easy,4185
278,skirt easy vary,9849
279,easy vary look,2822
280,thought would heavier,11061
281,would heavier surprised,12744
282,heavier surprised thin,4577
283,surprised thin works,10700
284,thin works live,10949
285,works live deep,12661
286,live deep south,5842
287,deep south get,2289
288,south get cold,10252
289,get cold wore,4059
290,cold wore dinner,1593
291,wore dinner black,12581
292,dinner black top,2449
293,black top jeans,914
294,top jeans super,11291
295,jeans super cute,5127
296,super cute happy,10647
297,cute happy purchase,2183
298,like top lightweight,5674
299,top lightweight comfortable,11296
300,lightweight comfortable flattering,5545
301,comfortable flattering see,1769
302,flattering see wearing,3803
303,see wearing holidays,9151
304,wearing holidays entertaining,12258
305,holidays entertaining looks,4799
306,entertaining looks festive,2927
307,looks festive pretty,6064
308,festive pretty something,3427
309,pretty something easy,8163
310,something easy pop,10218
311,easy pop look,2820
312,pop look pulled,8079
313,look pulled together,5977
314,pulled together flash,8279
315,ordered dress wear,7373
316,dress wear summer,2715
317,wear summer wedding,12215
318,summer wedding san,10622
319,wedding san francisco,12292
320,san francisco liked,9018
321,francisco liked sleeves,3926
322,liked sleeves plus,5700
323,sleeves plus trying,9918
324,plus trying found,8045
325,trying found little,11532
326,found little snug,3898
327,little snug realized,5818
328,snug realized slip,10107
329,realized slip tight,8472
330,slip tight dress,9959
331,tight dress helps,11107
332,dress helps smooth,2604
333,helps smooth little,4620
334,smooth little bumps,10089
335,little bumps drop,5761
336,bumps drop waist,1228
337,drop waist style,2769
338,waist style skims,11923
339,style skims torso,10562
340,skims torso flares,9823
341,torso flares prettily,11386
342,flares prettily complimentary,3741
343,prettily complimentary beautiful,8129
344,complimentary beautiful color,1878
345,beautiful color well,638
346,color well made,1678
347,well made pleased,12381
348,made pleased comfortable,6424
349,pleased comfortable perfect,8018
350,comfortable perfect wedding,1792
351,honestly give jeans,4808
352,give jeans loved,4120
353,jeans loved saw,5109
354,loved saw store,6335
355,saw store wore,9044
356,store wore got,10437
357,wore got tons,12587
358,got tons compliments,4332
359,tons compliments super,11208
360,compliments super comfortable,1901
361,super comfortable read,10638
362,comfortable read reviews,1797
363,read reviews thought,8462
364,reviews thought comments,8788
365,thought comments little,11040
366,comments little strange,1842
367,little strange jeans,5819
368,strange jeans obviously,10449
369,jeans obviously classic,5113
370,obviously classic go,7157
371,classic go style,1527
372,go style run,4187
373,style run little,10554
374,run little outside,8923
375,little outside style,5800
