age,hours-per-week,hasGraduateDegree,inRelationship,isWhite,isFemale,greaterThan50k
39,40,0,0,1,0,0
50,13,0,1,1,0,0
38,40,0,0,1,0,0
53,40,0,1,0,0,0
37,40,1,0,1,1,0
52,45,0,1,1,0,1
31,50,1,0,1,1,1
42,40,0,1,1,0,1
37,80,0,1,0,0,1
23,30,0,0,1,1,0
32,50,0,0,0,0,0
25,35,0,0,1,0,0
32,40,0,0,1,0,0
38,50,0,1,1,0,0
43,45,1,0,1,1,1
40,60,0,1,1,0,1
54,20,0,0,0,1,0
35,40,0,1,0,0,0
43,40,0,1,1,0,0
59,40,0,0,1,1,0
56,40,0,1,1,0,1
19,40,0,0,1,0,0
39,80,0,0,1,0,0
49,40,0,1,1,0,0
23,52,0,0,1,0,0
20,44,0,0,0,0,0
45,40,0,0,1,0,0
30,40,0,0,1,0,0
22,15,0,1,0,0,0
21,40,0,0,1,0,0
19,25,0,0,1,1,0
48,40,0,1,1,0,0
31,43,0,1,1,0,0
53,40,0,1,1,0,0
24,50,0,1,1,0,0
49,40,0,0,1,1,0
25,35,0,0,1,0,0
57,40,0,1,0,0,1
53,38,0,1,1,0,0
44,40,1,0,1,1,0
41,40,0,1,1,0,0
29,43,0,0,1,0,0
25,40,0,0,0,1,0
50,55,0,0,1,0,1
47,60,0,0,1,0,0
43,40,0,1,1,0,1
41,48,0,1,1,0,0
30,40,0,1,1,0,0
30,40,0,1,1,0,0
48,40,0,1,1,0,0
42,45,0,1,1,0,1
29,58,0,0,1,0,0
36,40,0,1,1,0,0
28,40,0,0,1,1,0
53,40,0,0,1,1,1
49,50,0,1,1,0,1
25,40,0,0,1,0,0
19,32,0,0,1,0,0
31,40,0,0,0,1,0
29,70,0,1,1,0,1
23,40,0,0,1,0,0
79,20,0,0,1,0,0
40,40,0,1,1,0,0
67,2,0,1,1,0,0
18,22,0,0,1,1,0
31,40,0,1,1,0,0
18,30,0,0,1,0,0
46,40,0,0,1,1,0
59,48,0,1,1,0,0
44,40,0,0,1,1,1
53,35,0,0,1,1,0
49,40,0,1,1,0,1
33,50,1,1,1,0,0
30,40,0,0,1,0,0
43,50,0,0,1,1,1
57,40,0,1,1,0,0
37,40,0,0,1,1,0
28,25,0,0,0,1,0
34,40,0,1,1,0,1
29,50,0,0,1,0,0
48,60,0,1,1,0,1
37,48,0,1,1,0,1
32,40,0,0,0,0,0
76,40,1,1,1,0,1
44,60,0,1,1,0,1
47,50,1,0,1,1,0
20,40,0,0,1,1,0
29,40,0,0,1,0,0
32,40,0,1,1,0,1
17,32,0,0,1,1,0
30,40,0,0,1,0,0
31,40,0,0,1,1,0
42,40,0,1,1,0,0
24,40,0,0,1,0,0
38,40,0,1,1,0,1
28,25,0,0,1,1,0
36,40,0,0,1,1,0
53,50,0,1,1,0,0
56,50,0,1,1,0,0
49,40,0,1,0,0,1
55,56,0,1,1,0,0
22,41,0,0,1,0,0
21,40,0,0,1,1,0
40,60,0,1,1,0,0
29,50,0,1,1,0,1
19,35,0,0,0,0,0
47,40,0,0,1,1,1
20,28,0,0,1,1,0
31,40,0,1,1,0,1
35,40,0,1,1,0,0
39,40,0,0,1,0,0
28,60,0,0,1,1,0
24,40,0,0,1,1,0
38,35,0,1,1,0,0
37,50,0,1,1,0,0
46,36,0,0,0,1,0
43,60,0,1,1,0,0
27,35,0,0,1,1,0
20,20,0,0,1,0,0
49,40,0,1,0,0,1
61,40,0,1,1,0,0
27,40,0,0,1,1,0
45,40,0,0,1,1,1
70,40,0,0,1,0,0
31,30,0,0,0,1,0
22,24,0,1,1,0,0
36,24,0,0,1,1,0
64,40,0,1,1,0,0
43,40,0,0,1,1,0
34,40,0,0,1,1,0
21,35,0,0,1,0,0
52,45,0,0,1,0,1
48,46,0,1,1,0,0
23,40,0,0,1,0,0
71,2,0,0,0,0,0
29,60,0,0,1,0,0
42,50,0,0,0,0,0
68,20,0,0,1,1,0
25,40,0,0,1,1,0
44,40,1,0,0,1,0
45,40,1,1,1,0,1
39,42,0,0,1,0,0
46,40,1,0,1,0,0
18,16,0,0,1,0,0
66,20,0,0,1,1,0
27,40,0,0,1,0,0
28,40,0,1,1,0,0
51,40,0,1,1,0,1
27,50,0,0,1,0,0
28,40,0,1,1,0,1
