,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,label
4327,6.4,0.24,0.26,8.2,0.054000000000000006,47,182,0.9953799999999999,3.12,0.5,9.5,5,1
2961,6.9,0.23,0.41,8.0,0.03,30,114,0.9936799999999999,3.22,0.54,11.0,6,1
3513,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13.0,6,1
3131,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5,1
2634,8.7,0.31,0.73,14.35,0.044000000000000004,27,191,1.00013,2.96,0.88,8.7,5,1
1117,8.1,0.45,0.34,8.3,0.037000000000000005,33,216,0.9976,3.31,0.64,9.7,5,1
754,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,1
2456,8.1,0.33,0.36,7.4,0.037000000000000005,36,156,0.99592,3.19,0.54,10.6,6,1
1374,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7,1
2366,7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9.0,5,1
3518,7.5,0.2,0.41,1.2,0.05,26,131,0.9913299999999999,3.19,0.52,11.1,5,1
3735,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,6,1
1675,6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,1
455,6.4,0.41,0.24,14.0,0.048,24,113,0.9982,3.44,0.53,9.8,6,1
2850,6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9.0,5,1
4709,5.9,0.21,0.31,1.8,0.033,45,142,0.9898399999999999,3.35,0.5,12.7,6,1
2622,6.6,0.26,0.21,2.9,0.026000000000000002,48,126,0.9908899999999999,3.22,0.38,11.3,7,1
2763,7.7,0.3,0.34,1.2,0.048,4,119,0.9908399999999999,3.18,0.34,12.1,6,1
3704,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,1
1123,9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,1
2360,8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6,1
1138,9.2,0.28,0.46,3.2,0.057999999999999996,39,133,0.996,3.14,0.58,9.5,5,1
623,7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5,1
412,7.2,0.19,0.39,1.2,0.036000000000000004,32,85,0.9918,3.16,0.5,10.5,5,1
3418,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,1
4746,6.3,0.23,0.5,10.4,0.043,61,132,0.9954200000000001,2.86,0.46,9.1,6,1
1820,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12.0,6,1
3783,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5,1
2179,7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6,1
587,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7,1
1324,6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,1
3,7.2,0.23,0.32,8.5,0.057999999999999996,47,186,0.9956,3.19,0.4,9.9,6,1
1202,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9.0,5,1
3386,6.1,0.28,0.27,4.7,0.03,56,140,0.9904200000000001,3.16,0.42,12.5,8,1
2331,7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5,1
2088,8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6,1
1941,6.8,0.31,0.32,7.6,0.052000000000000005,35,143,0.9959,3.14,0.38,9.0,5,1
1734,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,1
1027,8.0,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4,1
4093,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9.0,6,1
971,6.0,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7,1
1838,6.5,0.34,0.36,11.0,0.052000000000000005,53,247,0.9984,3.44,0.55,9.3,6,1
858,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10.0,7,1
2125,6.0,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5,1
2804,6.4,0.22,0.32,7.2,0.027999999999999997,15,83,0.993,3.13,0.55,10.9,8,1
2732,7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10.0,5,1
1629,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,1
41,6.7,0.24,0.39,2.9,0.17300000000000001,63,157,0.9937,3.1,0.34,9.4,6,1
2550,6.2,0.33,0.14,4.8,0.052000000000000005,27,128,0.99475,3.21,0.48,9.4,5,1
1288,7.2,0.32,0.33,1.4,0.028999999999999998,29,109,0.9902,3.15,0.51,12.8,7,1
3700,7.0,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5,1
2414,6.2,0.38,0.18,7.4,0.095,28,195,0.9977299999999999,3.53,0.71,9.2,4,1
2258,7.6,0.48,0.28,10.4,0.049,57,205,0.9974799999999999,3.24,0.45,9.3,5,1
1478,7.9,0.22,0.24,4.6,0.044000000000000004,39,159,0.9927,2.99,0.28,11.5,6,1
3529,7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7,1
4003,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,1
608,6.1,0.28,0.25,17.75,0.044000000000000004,48,161,0.9993,3.34,0.48,9.5,5,1
2764,7.9,0.16,0.3,7.4,0.05,58,152,0.9961200000000001,3.12,0.37,9.5,6,1
3433,6.2,0.255,0.27,1.3,0.037000000000000005,30,86,0.98834,3.05,0.59,12.9,7,1
3222,6.6,0.16,0.34,1.1,0.037000000000000005,41,115,0.9899,3.01,0.68,12.0,6,1
1694,7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6,1
885,6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7,1
686,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,1
2514,6.9,0.34,0.3,4.7,0.028999999999999998,34,148,0.99165,3.36,0.49,12.3,7,1
902,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5,1
2149,6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,1
2408,7.5,0.705,0.1,13.0,0.044000000000000004,44,214,0.99741,3.1,0.5,9.1,5,1
4826,6.0,0.34,0.29,6.1,0.046,29,134,0.9946200000000001,3.48,0.57,10.7,6,1
3170,7.6,0.17,0.46,0.9,0.036000000000000004,63,147,0.99126,3.02,0.41,10.7,6,1
1534,7.1,0.18,0.74,15.6,0.044000000000000004,44,176,0.9996,3.38,0.67,9.0,6,1
4607,6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6,1
3294,7.3,0.25,0.28,1.5,0.043,19,113,0.9933799999999999,3.38,0.56,10.1,6,1
2603,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,1
2620,6.5,0.28,0.28,20.4,0.040999999999999995,40,144,1.0002,3.14,0.38,8.7,5,1
4265,6.2,0.36,0.22,5.25,0.038,44,145,0.9918399999999999,3.22,0.4,11.2,6,1
2866,5.6,0.18,0.58,1.25,0.034,29,129,0.9898399999999999,3.51,0.6,12.0,7,1
3395,6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5,1
2836,6.5,0.22,0.45,8.0,0.053,52,196,0.9959,3.23,0.48,9.1,6,1
3792,6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6,1
3694,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5,1
3093,7.0,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7,1
3936,5.7,0.23,0.25,7.95,0.042,16,108,0.9948600000000001,3.44,0.61,10.3,6,1
3077,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,1
1865,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6,1
2858,6.9,0.33,0.26,5.0,0.027000000000000003,46,143,0.9924,3.25,0.43,11.2,7,1
1049,6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,1
4061,6.4,0.41,0.01,6.1,0.048,20,70,0.9936200000000001,3.19,0.42,10.0,5,1
2647,5.8,0.15,0.28,0.8,0.037000000000000005,43,127,0.99198,3.24,0.51,9.3,5,1
2993,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,1
259,5.8,0.36,0.38,0.9,0.037000000000000005,3,75,0.9904,3.28,0.34,11.4,4,1
3868,6.0,0.22,0.25,11.1,0.055999999999999994,112,177,0.9961,3.08,0.36,9.4,6,1
4763,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7,1
717,7.0,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,1
4305,5.9,0.25,0.24,7.4,0.044000000000000004,21,113,0.9946200000000001,3.38,0.58,10.5,6,1
210,5.6,0.245,0.25,9.7,0.032,12,68,0.9940000000000001,3.31,0.34,10.5,5,1
1364,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5,1
3627,6.4,0.37,0.2,5.6,0.11699999999999999,61,183,0.99459,3.24,0.43,9.5,5,1
633,6.0,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5,1
1188,7.1,0.21,0.3,1.4,0.037000000000000005,45,143,0.9932,3.13,0.33,9.9,6,1
4104,6.9,0.45,0.27,4.7,0.035,17,80,0.9905799999999999,3.12,0.36,12.5,7,1
2228,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7,1
3175,7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,1
4031,6.4,0.29,0.57,1.0,0.06,15,120,0.9924,3.06,0.41,9.5,5,1
3618,7.1,0.27,0.24,12.6,0.044000000000000004,48,118,0.99726,3.04,0.56,10.0,7,1
3070,6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,1
4482,6.2,0.3,0.33,3.5,0.037000000000000005,37,155,0.98987,3.18,0.37,12.4,6,1
2087,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6,1
4371,7.0,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,5,1
955,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,1
2197,7.3,0.18,0.29,1.0,0.036000000000000004,26,101,0.99,3.09,0.37,11.7,6,1
4095,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9.0,6,1
1786,7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7,1
1314,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6,1
2314,7.0,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6,1
1931,7.1,0.49,0.22,2.0,0.047,146,307,0.9924,3.24,0.37,11.0,3,1
594,6.4,0.475,0.06,1.0,0.03,9,131,0.9904,2.97,0.29,10.8,5,1
4725,6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6,1
3181,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6,1
2132,7.1,0.22,0.32,16.9,0.055999999999999994,49,158,0.9998,3.37,0.38,9.6,6,1
2509,8.0,0.27,0.57,10.4,0.053,18,134,0.9973200000000001,3.12,0.68,9.0,5,1
1306,6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,1
