OverallQual,TotalBsmtSF,CentralAir,GrLivArea,GarageCars,SalePrice,G_Fin,G_RFn,G_Unf,PV_N,PV_P,PV_Y
7,856,1,1710,2,208500,0,1,0,0,0,1
6,1262,1,1262,2,181500,0,1,0,0,0,1
7,920,1,1786,2,223500,0,1,0,0,0,1
7,756,1,1717,3,140000,0,0,1,0,0,1
8,1145,1,2198,3,250000,0,1,0,0,0,1
5,796,1,1362,2,143000,0,0,1,0,0,1
8,1686,1,1694,2,307000,0,1,0,0,0,1
7,1107,1,2090,2,200000,0,1,0,0,0,1
7,952,1,1774,2,129900,0,0,1,0,0,1
5,991,1,1077,1,118000,0,1,0,0,0,1
5,1040,1,1040,1,129500,0,0,1,0,0,1
9,1175,1,2324,3,345000,1,0,0,0,0,1
5,912,1,912,1,144000,0,0,1,0,0,1
7,1494,1,1494,3,279500,0,1,0,0,0,1
6,1253,1,1253,1,157000,0,1,0,0,0,1
7,832,1,854,2,132000,0,0,1,0,0,1
6,1004,1,1004,2,149000,1,0,0,0,0,1
4,0,1,1296,2,90000,0,0,1,0,0,1
5,1114,1,1114,2,159000,0,0,1,0,0,1
5,1029,1,1339,1,139000,0,0,1,0,0,1
8,1158,1,2376,3,325300,0,1,0,0,0,1
7,637,1,1108,1,139400,0,0,1,1,0,0
8,1777,1,1795,2,230000,0,1,0,0,0,1
5,1040,1,1060,2,129900,0,0,1,0,0,1
5,1060,1,1060,1,154000,0,0,1,0,0,1
8,1566,1,1600,3,256300,0,1,0,0,0,1
5,900,1,900,2,134800,0,0,1,0,0,1
8,1704,1,1704,3,306000,0,1,0,0,0,1
5,1484,1,1600,1,207500,0,1,0,0,0,1
4,520,0,520,1,68500,0,0,1,0,0,1
4,649,0,1317,1,40000,0,0,1,1,0,0
5,1228,1,1228,1,149350,0,0,1,0,0,1
8,1234,1,1234,2,179900,0,1,0,0,0,1
5,1398,1,1700,2,165500,0,1,0,0,0,1
9,1561,1,1561,2,277500,1,0,0,0,0,1
8,1117,1,2452,3,309000,1,0,0,0,0,1
5,1097,1,1097,2,145000,0,0,1,0,0,1
5,1297,1,1297,2,153000,1,0,0,0,0,1
5,1057,1,1057,1,109000,0,0,1,0,0,1
4,0,0,1152,0,82000,0,0,0,1,0,0
6,1088,1,1324,2,160000,0,1,0,0,0,1
5,1350,1,1328,1,170000,0,1,0,0,1,0
5,840,1,884,2,144000,0,1,0,0,0,1
5,938,1,938,1,130250,0,0,1,0,0,1
5,1150,1,1150,1,141000,0,1,0,0,0,1
9,1752,1,1752,2,319900,0,1,0,0,0,1
7,1434,1,2149,2,239686,0,1,0,0,0,1
8,1656,1,1656,3,249700,0,1,0,0,0,1
4,736,1,1452,0,113000,0,0,0,1,0,0
5,955,1,955,1,127000,0,0,1,0,0,1
6,794,1,1470,2,177000,1,0,0,0,0,1
6,816,1,1176,2,114500,0,0,1,0,0,1
5,816,0,816,2,110000,0,0,1,0,0,1
9,1842,1,1842,3,385000,1,0,0,0,0,1
5,384,1,1360,2,130000,0,0,1,0,0,1
6,1425,1,1425,2,180500,0,1,0,0,0,1
8,970,1,1739,2,172500,1,0,0,0,0,1
7,860,1,1720,2,196500,0,1,0,0,0,1
10,1410,1,2945,3,438780,1,0,0,0,0,1
5,780,1,780,1,124900,0,0,1,0,0,1
6,1158,1,1158,2,158000,0,0,1,0,0,1
5,530,0,1111,1,101000,0,0,1,1,0,0
8,1370,1,1370,2,202500,0,1,0,0,0,1
7,576,1,1710,2,140000,0,0,1,0,0,1
7,1057,1,2034,2,219500,0,1,0,0,0,1
8,1143,1,2473,3,317000,0,1,0,0,0,1
7,1947,1,2207,2,180000,0,1,0,0,0,1
7,1453,1,1479,2,226000,0,1,0,0,0,1
4,747,1,747,1,80000,0,0,1,0,0,1
7,1304,1,2287,2,225000,1,0,0,0,0,1
7,2223,1,2223,2,244000,1,0,0,0,0,1
4,845,1,845,2,129500,0,0,1,0,0,1
7,832,1,1718,2,185000,1,0,0,0,0,1
5,1086,1,1086,2,144900,0,0,1,0,0,1
3,840,0,1605,1,107400,0,0,1,0,0,1
4,462,1,988,1,91000,0,0,1,0,0,1
4,952,1,952,1,135750,0,0,1,0,0,1
5,672,1,1285,1,127000,0,0,1,0,0,1
4,1768,0,1768,0,136500,0,0,0,0,0,1
5,440,1,1230,2,110000,0,0,1,0,0,1
6,896,1,2142,1,193500,1,0,0,0,0,1
6,1237,1,1337,2,153500,1,0,0,0,0,1
8,1563,1,1563,3,245000,0,1,0,0,0,1
5,1065,1,1065,2,126500,0,0,1,0,0,1
7,384,1,1474,2,168500,1,0,0,0,0,1
8,1288,1,2417,2,260000,0,0,1,0,0,1
6,684,1,1560,2,174000,1,0,0,0,0,1
6,612,1,1224,2,164500,0,1,0,0,0,1
3,1013,0,1526,0,85000,0,0,0,1,0,0
4,990,1,990,0,123600,0,0,0,0,0,1
4,0,1,1040,2,109900,0,0,1,0,0,1
5,1235,1,1235,2,98600,0,0,1,0,0,1
5,876,1,964,2,163500,0,0,1,0,0,1
6,1214,0,2291,2,133900,0,0,1,0,0,1
6,824,1,1786,2,204750,0,1,0,0,0,1
6,680,1,1470,2,185000,1,0,0,0,0,1
7,1588,1,1588,2,214000,0,1,0,0,0,1
4,960,1,960,1,94750,1,0,0,0,1,0
5,458,0,835,1,83000,0,0,1,0,0,1
4,950,1,1225,0,128950,0,0,0,0,0,1
6,1610,1,1610,2,205000,0,1,0,0,0,1
6,741,1,1732,2,178000,1,0,0,0,0,1
5,0,1,1535,2,118964,0,0,1,0,0,1
7,1226,1,1226,3,198900,0,1,0,0,0,1
7,1040,1,1818,1,169500,0,0,1,0,0,1
8,1053,1,1992,2,250000,0,1,0,0,0,1
4,641,1,1047,1,100000,0,0,1,1,0,0
5,789,1,789,1,115000,0,0,1,0,0,1
5,793,0,1517,0,115000,0,0,0,1,0,0
6,1844,1,1844,2,190000,0,1,0,0,0,1
6,994,1,1855,1,136900,0,0,1,0,0,1
7,384,1,1430,2,180000,1,0,0,0,0,1
7,1264,1,2696,3,383970,1,0,0,0,0,1
6,1809,1,2259,2,217000,0,0,1,0,0,1
6,1028,1,2320,1,259500,0,0,1,0,0,1
6,729,1,1458,2,176000,0,0,1,0,0,1
5,1092,1,1092,1,139000,0,0,1,0,0,1
5,1125,1,1125,2,155000,0,0,1,0,0,1
7,1673,1,3222,3,320000,0,0,1,0,0,1
6,728,1,1456,2,163990,1,0,0,0,0,1
6,938,1,988,2,180000,0,0,1,0,0,1
4,732,1,1123,1,100000,0,0,1,0,1,0
6,1080,1,1080,1,136000,0,0,1,0,0,1
6,1199,1,1199,2,153900,0,1,0,0,0,1
6,1362,1,1586,2,181000,0,0,1,0,0,1
6,520,0,754,0,84500,0,0,0,1,0,0
6,1078,1,958,2,128000,0,1,0,0,0,1
5,672,1,840,0,87000,0,0,0,1,0,0
6,660,1,1348,2,155000,0,1,0,0,0,1
5,1008,1,1053,2,150000,0,1,0,0,0,1
7,924,1,2157,2,226000,1,0,0,0,0,1
6,992,1,2054,2,244000,0,1,0,0,0,1
5,1063,1,1327,2,150750,0,0,1,0,0,1
8,1267,1,1296,2,220000,1,0,0,0,0,1
5,1461,1,1721,2,180000,0,1,0,0,0,1
7,1304,1,1682,2,174000,0,0,1,0,0,1
5,1214,1,1214,1,143000,0,1,0,0,0,1
7,1907,1,1959,3,171000,0,0,1,0,0,1
8,1004,1,1852,3,230000,1,0,0,0,0,1
6,928,1,1764,2,231500,0,1,0,0,0,1
4,864,1,864,0,115000,0,0,0,0,0,1
7,1734,1,1734,2,260000,1,0,0,0,0,1
5,910,1,1385,2,166000,0,0,1,0,0,1
7,1490,1,1501,2,204000,0,1,0,0,0,1
5,1728,1,1728,2,125000,0,0,1,0,0,1
6,970,1,1709,2,130000,0,0,1,0,0,1
5,715,1,875,1,105000,0,0,1,0,0,1
7,884,1,2035,2,222500,1,0,0,0,0,1
7,1080,1,1080,0,141000,0,0,0,0,0,1
5,896,1,1344,1,115000,0,0,1,0,0,1
5,969,1,969,2,122000,0,0,1,0,0,1
8,1710,1,1710,3,372402,0,1,0,0,0,1
6,825,1,1993,2,190000,0,1,0,0,0,1
6,1602,1,1252,2,235000,0,1,0,0,0,1
6,1200,1,1200,1,125000,0,0,1,0,0,1
6,572,0,1096,0,79000,0,0,0,1,0,0
5,0,1,1040,2,109500,0,0,1,0,0,1
8,774,1,1968,3,269500,1,0,0,0,0,1
7,991,1,1947,2,254900,0,1,0,0,0,1
7,1392,1,2462,2,320000,0,1,0,0,0,1
6,1232,1,1232,2,162500,0,0,1,0,0,1
9,1572,1,2668,3,412500,1,0,0,0,0,1
7,1541,1,1541,2,220000,0,1,0,0,0,1
4,882,1,882,0,103200,0,0,0,0,0,1
6,1149,1,1616,1,152000,0,0,1,0,0,1
5,644,1,1355,0,127500,0,0,0,0,0,1
5,1617,1,1867,1,190000,1,0,0,0,0,1
8,1582,1,2161,3,325624,1,0,0,0,0,1
7,840,1,1720,2,183500,1,0,0,0,0,1
8,1686,1,1707,2,228000,0,1,0,0,0,1
5,720,1,1382,2,128500,0,0,1,0,0,1
6,1080,1,1656,2,215000,1,0,0,0,1,0
7,1064,1,1767,2,239000,0,1,0,0,0,1
6,1362,1,1362,2,163000,0,0,1,0,0,1
6,1606,1,1651,2,184000,1,0,0,0,0,1
6,1202,1,2158,2,243000,0,0,1,0,0,1
6,1151,1,2060,2,211000,0,0,1,0,0,1
5,1052,1,1920,2,172500,0,0,1,0,0,1
9,2216,1,2234,3,501837,1,0,0,0,0,1
5,968,1,968,2,100000,0,0,1,1,0,0
6,756,1,1525,2,177000,0,0,1,0,0,1
7,793,1,1802,1,200100,0,0,1,0,0,1
5,0,1,1340,1,120000,0,1,0,0,0,1
7,1362,1,2082,2,200000,0,0,1,1,0,0
5,504,1,1252,2,127000,0,0,1,0,0,1
10,1107,1,3608,3,475000,0,0,1,0,0,1
7,1188,1,1217,2,173000,0,0,1,0,0,1
5,660,1,1656,1,135000,0,0,1,1,0,0
5,1086,1,1224,2,153337,0,0,1,0,0,1
8,1593,1,1593,2,286000,1,0,0,0,0,1
8,853,1,2727,2,315000,0,0,1,0,0,1
7,725,1,1479,2,184000,1,0,0,0,0,1
7,1431,1,1431,2,192000,1,0,0,0,0,1
7,970,1,1709,2,130000,0,0,1,0,0,1
5,864,1,864,1,127000,0,0,1,0,0,1
6,855,1,1456,2,148500,0,0,1,0,0,1
7,1726,1,1726,3,311872,1,0,0,0,0,1
8,1360,1,3112,2,235000,0,0,1,0,0,1
6,755,1,2229,0,104000,0,0,0,0,0,1
8,1713,1,1713,3,274900,1,0,0,0,0,1
4,1121,1,1121,2,140000,0,1,0,0,0,1
6,1196,1,1279,2,171500,0,0,1,0,0,1
6,617,1,1310,1,112000,0,0,1,0,0,1
6,848,1,848,2,149000,0,1,0,0,0,1
5,720,1,1284,1,110000,0,0,1,0,0,1
7,1424,1,1442,2,180500,0,1,0,0,0,1
5,1140,1,1696,1,143900,0,1,0,0,0,1
4,1100,1,1100,1,141000,0,1,0,0,0,1
7,1157,1,2062,2,277000,1,0,0,0,0,1
6,1092,1,1092,2,145000,0,1,0,0,0,1
5,864,0,864,0,98000,0,0,0,0,0,1
6,1212,1,1212,2,186000,0,1,0,0,0,1
7,900,1,1852,2,252678,0,1,0,0,0,1
5,990,1,990,2,156000,0,0,1,0,0,1
6,689,1,1392,1,161750,1,0,0,0,0,1
5,1070,1,1236,1,134450,0,0,1,0,0,1
7,1436,1,1436,2,210000,0,0,1,0,0,1
4,686,0,1328,1,107000,0,0,1,0,0,1
7,798,1,1954,2,311500,0,0,1,0,0,1
7,1248,1,1248,2,167240,1,0,0,0,0,1
7,1498,1,1498,2,204900,0,1,0,0,0,1
6,1010,1,2267,2,200000,0,1,0,0,0,1
6,713,1,1552,2,179900,0,1,0,0,0,1
4,864,1,864,2,97000,0,0,1,0,0,1
10,2392,1,2392,3,386250,1,0,0,0,0,1
5,630,1,1302,1,112000,0,0,1,0,0,1
7,1203,1,2520,3,290000,0,1,0,0,0,1
6,483,1,987,1,106000,0,0,1,0,0,1
5,912,1,912,1,125000,0,0,1,0,0,1
7,1373,1,1555,2,192500,1,0,0,0,0,1
6,1194,1,1194,1,148000,0,1,0,0,0,1
8,1462,1,2794,3,403000,1,0,0,0,0,1
6,483,1,987,1,94500,0,0,1,0,0,1
5,894,1,894,1,128200,0,0,1,0,0,1
6,860,1,1960,2,216500,1,0,0,0,0,1
6,483,1,987,1,89500,0,0,1,0,0,1
7,1414,1,1414,2,185500,0,1,0,0,0,1
7,996,1,1744,2,194500,0,1,0,0,0,1
8,1694,1,1694,3,318000,1,0,0,0,0,1
6,735,1,1487,1,113000,0,0,1,0,0,1
8,1566,1,1566,2,262500,0,1,0,0,0,1
5,686,1,866,0,110500,0,0,0,0,0,1
5,540,0,1440,1,79000,0,0,1,0,0,1
6,626,1,1217,1,120000,0,1,0,0,0,1
7,948,1,2110,2,205000,0,1,0,0,0,1
7,1845,1,1872,2,241500,1,0,0,0,0,1
6,1020,0,1928,1,137000,0,0,1,0,0,1
6,1367,1,1375,2,140000,0,0,1,0,0,1
7,840,1,1668,2,180000,0,1,0,0,0,1
6,1444,1,2144,2,277000,1,0,0,0,0,1
3,728,1,1306,0,76500,0,0,0,0,0,1
8,1573,1,1625,2,235000,1,0,0,0,0,1
6,798,1,1640,2,173000,0,1,0,0,0,1
6,1302,1,1302,1,158000,0,1,0,0,0,1
5,1314,1,1314,1,145000,0,1,0,0,0,1
7,975,1,2291,2,230000,1,0,0,0,0,1
6,864,1,1728,2,207500,0,1,0,0,0,1
7,1604,1,1604,2,220000,0,1,0,0,0,1
7,963,1,1792,2,231500,0,1,0,0,0,1
5,0,1,882,1,97000,0,0,1,0,0,1
6,1362,1,1382,2,176000,0,0,1,0,0,1
8,1482,1,2574,3,276000,1,0,0,0,0,1
6,506,1,1212,2,151000,0,0,1,0,0,1
5,926,1,1316,2,130000,0,0,1,0,0,1
5,680,0,764,2,73000,0,0,1,1,0,0
6,1422,1,1422,2,175500,1,0,0,0,0,1
6,802,1,1511,2,185000,1,0,0,0,0,1
5,720,1,2192,1,179500,0,0,1,0,0,1
5,740,1,778,1,120500,1,0,0,0,0,1
6,1143,1,1113,1,148000,0,1,0,0,0,1
8,1095,1,1939,3,266000,0,1,0,0,0,1
7,1385,1,1363,2,241500,0,0,1,0,0,1
8,1152,1,2270,3,290000,1,0,0,0,0,1
6,1240,1,1632,1,139000,0,1,0,0,0,1
5,816,1,816,1,124500,0,0,1,0,0,1
7,952,0,1548,2,205000,0,0,1,0,0,1
7,1560,1,1560,2,201000,1,0,0,0,0,1
4,864,1,864,2,141000,0,0,1,0,0,1
9,2121,1,2121,3,415298,1,0,0,0,0,1
7,1160,1,2022,2,192000,1,0,0,0,0,1
7,807,1,1982,2,228500,1,0,0,0,0,1
6,1262,1,1262,2,185000,1,0,0,0,0,1
7,1314,1,1314,2,207500,0,1,0,0,0,1
8,1468,1,1468,3,244600,1,0,0,0,0,1
6,1575,1,1575,2,179200,0,1,0,0,0,1
7,625,1,1250,2,164700,0,1,0,0,0,1
6,912,1,1734,2,159000,0,1,0,0,0,1
4,858,1,858,0,88000,0,0,0,0,0,1
5,882,1,900,1,122000,0,0,1,0,0,1
6,698,1,1396,1,153575,0,0,1,0,0,1
8,1079,1,1919,2,233230,0,1,0,0,0,1
5,780,0,1716,0,135900,0,0,0,1,0,0
5,768,1,1716,1,131000,0,0,1,0,0,1
7,795,1,2263,2,235000,1,0,0,0,0,1
6,1416,1,1644,2,167000,1,0,0,0,0,1
6,1003,1,1003,2,142500,0,0,1,0,0,1
5,910,1,1558,1,152000,0,0,1,0,0,1
7,975,1,1950,2,239000,0,1,0,0,0,1
6,702,1,1743,2,175000,0,0,1,0,0,1
6,1092,1,1152,1,158500,0,0,1,0,0,1
5,1165,1,1336,1,157000,0,0,1,0,0,1
8,1028,1,2452,2,267000,1,0,0,0,0,1
7,1541,1,1541,3,205000,0,1,0,0,0,1
5,894,1,894,2,149900,0,0,1,0,0,1
7,1470,1,3493,3,295000,0,0,1,0,0,1
8,2000,1,2000,3,305900,1,0,0,0,0,1
7,700,1,2243,3,225000,0,1,0,0,0,1
6,319,1,1406,0,89500,0,0,0,1,0,0
4,861,1,861,2,82500,0,0,1,0,0,1
9,1896,1,1944,3,360000,1,0,0,0,0,1
6,697,1,1501,2,165600,1,0,0,0,0,1
6,972,1,972,1,132000,0,0,1,0,0,1
5,793,1,1118,2,119900,0,0,1,0,0,1
7,2136,1,2036,2,375000,0,1,0,0,0,1
7,728,1,1641,2,178000,0,0,1,0,0,1
7,716,1,1432,2,188500,1,0,0,0,0,1
7,845,1,2353,2,260000,0,1,0,0,0,1
8,1088,1,1959,3,270000,0,1,0,0,0,1
7,1347,1,2646,3,260000,0,1,0,0,0,1
7,1372,1,1472,2,187500,0,0,1,0,0,1
9,1249,1,2596,3,342643,0,1,0,0,0,1
8,1136,1,2468,3,354000,1,0,0,0,0,1
7,1502,1,2730,2,301000,1,0,0,0,0,1
3,1162,1,1163,1,126175,0,0,1,0,0,1
7,710,1,2978,2,242000,1,0,0,0,0,1
5,720,0,803,2,87000,0,0,1,0,0,1
8,1719,1,1719,2,324000,1,0,0,0,0,1
6,1383,1,1383,1,145250,0,1,0,0,0,1
6,844,0,2134,2,214500,0,0,1,0,0,1
5,596,0,1192,1,78000,0,0,1,1,0,0
5,1728,1,1728,1,119000,0,0,1,0,0,1
5,1056,1,1056,1,139000,0,1,0,0,0,1
8,3206,1,1629,3,284000,0,1,0,0,0,1
7,1358,1,1358,2,207000,0,1,0,0,0,1
6,943,1,1638,2,192000,1,0,0,0,0,1
5,1499,1,1786,2,228950,1,0,0,0,0,1
9,1922,1,1922,3,377426,1,0,0,0,0,1
7,1536,1,1536,2,214000,0,1,0,0,0,1
7,1208,1,1621,2,202500,0,1,0,0,0,1
6,1215,1,1215,1,155000,0,0,1,0,0,1
8,967,1,1908,2,202900,1,0,0,0,0,1
4,721,1,841,1,82000,0,0,1,1,0,0
3,0,0,1040,2,87500,0,0,1,0,0,1
9,1684,1,1684,2,266000,0,1,0,0,0,1
5,536,1,1112,1,85000,0,0,1,0,0,1
6,972,1,1577,1,140200,0,0,1,0,0,1
6,958,1,958,1,151500,0,1,0,0,0,1
6,1478,1,1478,2,157500,0,0,1,0,0,1
7,764,1,1626,2,154000,0,1,0,0,0,1
9,1848,1,2728,3,437154,1,0,0,0,0,1
9,1869,1,1869,2,318061,0,1,0,0,0,1
7,1453,1,1453,2,190000,0,1,0,0,0,1
5,616,0,1111,1,95000,0,0,1,0,0,1
6,624,1,720,2,105900,0,0,1,0,0,1
6,940,1,1595,1,140000,0,0,1,0,0,1
6,1200,1,1200,2,177500,0,1,0,0,0,1
6,1158,1,1167,2,173000,0,1,0,0,0,1
5,1142,1,1142,2,134000,1,0,0,0,0,1
5,1062,1,1352,1,130000,0,0,1,0,0,1
8,1086,1,1924,2,280000,0,1,0,0,0,1
6,888,1,912,2,156000,0,1,0,0,0,1
5,883,1,1505,1,145000,0,0,1,1,0,0
7,0,1,1922,2,198500,0,1,0,0,0,1
6,483,1,987,1,118000,0,0,1,0,0,1
6,796,1,1574,2,190000,1,0,0,0,0,1
5,672,1,1344,1,147000,0,0,1,0,0,1
6,1394,1,1394,2,159000,0,1,0,0,0,1
6,1099,1,1431,1,165000,0,1,0,0,0,1
5,1268,1,1268,1,132000,1,0,0,0,0,1
5,1063,1,1287,2,162000,1,0,0,0,0,1
6,953,1,1664,2,172400,0,1,0,0,0,1
4,0,1,1588,2,134432,1,0,0,1,0,0
6,744,1,752,1,125000,0,0,1,0,0,1
5,608,1,1319,1,123000,0,0,1,0,0,1
7,847,1,1928,2,219500,1,0,0,0,0,1
1,683,0,904,0,61000,0,0,0,0,0,1
5,870,1,914,2,148000,0,0,1,0,0,1
8,1580,1,2466,2,340000,0,1,0,0,0,1
9,1856,1,1856,3,394432,1,0,0,0,0,1
6,982,1,1800,2,179000,1,0,0,0,0,1
5,1026,1,1691,1,127000,0,0,1,0,0,1
7,1293,1,1301,2,187750,0,1,0,0,0,1
7,939,1,1797,2,213500,0,1,0,0,0,1
6,784,0,784,2,76000,0,0,1,1,0,0
6,1580,1,1953,2,240000,1,0,0,0,0,1
8,1256,1,1269,2,192000,1,0,0,0,0,1
5,658,1,1184,0,81000,0,0,0,1,0,0
6,1041,1,1125,1,125000,0,0,1,0,0,1
7,1468,1,1479,2,191000,0,1,0,0,0,1
10,1682,1,2332,3,426000,1,0,0,0,0,1
5,861,1,1367,1,119000,0,0,1,0,0,1
6,804,1,1961,2,215000,1,0,0,0,0,1
5,0,1,882,1,106500,0,1,0,0,0,1
4,788,1,788,0,100000,0,0,0,0,0,1
5,735,1,1034,1,109000,0,0,1,0,0,1
5,1144,1,1144,1,129000,0,0,1,0,0,1
5,894,1,894,2,123000,0,1,0,0,0,1
5,864,1,1812,1,169500,0,1,0,0,0,1
5,961,1,1077,1,67000,0,0,1,1,0,0
7,1092,1,1550,2,241000,1,0,0,0,0,1
8,1260,1,1288,2,245500,1,0,0,0,0,1
7,1310,1,1310,2,164990,1,0,0,0,0,1
5,672,1,672,1,108000,0,0,1,1,0,0
8,1141,1,2263,2,258000,1,0,0,0,0,1
6,806,1,1572,2,168000,1,0,0,0,0,1
4,1281,1,1620,2,150000,0,0,1,0,0,1
6,1064,1,1639,1,115000,0,0,1,0,0,1
6,840,1,1680,1,177000,0,0,1,0,0,1
7,1063,1,2172,3,280000,0,1,0,0,0,1
8,1034,1,2078,3,339750,1,0,0,0,0,1
5,1276,1,1276,1,60000,0,0,1,0,0,1
5,1056,0,1056,2,145000,1,0,0,0,0,1
7,1470,1,1478,2,222000,1,0,0,0,0,1
5,1008,1,1028,2,115000,0,0,1,0,0,1
7,1080,1,2097,3,228000,0,0,1,0,0,1
7,1340,1,1340,2,181134,1,0,0,0,0,1
6,672,1,1400,2,149500,1,0,0,0,0,1
6,1370,0,2624,3,239000,0,0,1,1,0,0
5,756,0,1134,1,126000,0,0,1,0,1,0
5,1056,1,1056,1,142000,0,0,1,0,0,1
7,1344,1,1344,4,206300,1,0,0,0,0,1
6,1602,1,1602,2,215000,1,0,0,0,0,1
5,988,1,988,2,113000,0,1,0,1,0,0
8,1470,1,2630,3,315000,1,0,0,0,0,1
6,1196,1,1196,1,139000,0,1,0,0,0,1
7,651,1,1389,1,135000,0,0,1,0,1,0
7,1518,1,1644,2,275000,1,0,0,0,0,1
4,907,1,907,1,109008,0,0,1,0,0,1
7,1208,1,1208,2,195400,0,1,0,0,0,1
6,1392,1,1412,2,175000,0,0,1,0,0,1
6,483,1,987,1,85400,0,0,1,0,0,1
6,901,1,1198,0,79900,0,0,0,1,0,0
5,765,1,1365,2,122500,0,0,1,0,0,1
6,926,1,1604,2,181000,1,0,0,0,0,1
4,630,1,630,0,81000,0,0,0,0,0,1
7,799,1,1661,2,212000,0,1,0,0,0,1
6,648,1,1118,2,116000,0,0,1,0,0,1
6,884,1,904,1,119000,0,0,1,0,0,1
5,440,0,694,1,90350,0,0,1,0,1,0
6,684,1,1196,2,110000,0,0,1,0,0,1
