iter	MultiClass
0	1.036646303
1	0.9777149145
2	0.9271936399
3	0.8868271823
4	0.8505045057
5	0.8178484914
6	0.788492572
7	0.7612191675
8	0.7367286345
9	0.7167275679
10	0.6952352218
11	0.6761651396
12	0.6585088947
13	0.6415382402
14	0.6283566679
15	0.614578186
16	0.6029446865
17	0.590995367
18	0.5814012846
19	0.5722997603
20	0.5639000538
21	0.5562671048
22	0.5476000597
23	0.539625773
24	0.5322494922
25	0.5237856741
26	0.5163534864
27	0.5097323441
28	0.5029511841
29	0.4977376009
30	0.4937426413
31	0.4897572746
32	0.4850635387
33	0.4798052195
34	0.476299304
35	0.4707099213
36	0.4665936139
37	0.4613256225
38	0.4576836112
39	0.4538142441
40	0.4505366408
41	0.44746268
42	0.4444628488
43	0.441425836
44	0.4386772222
45	0.4358356741
46	0.4329050296
47	0.4299835267
48	0.4283563867
49	0.4259589532
50	0.423313619
51	0.4201840328
52	0.4166223734
53	0.4151324441
54	0.4127916191
55	0.4105262942
56	0.4091964244
57	0.4076511236
58	0.4063815894
59	0.4044215754
60	0.4011631744
61	0.399853768
62	0.3981462381
63	0.3973245717
64	0.3953378286
65	0.3938275563
66	0.3929875972
67	0.3909775706
68	0.3892542108
69	0.3887780688
70	0.3870792439
71	0.3862935864
72	0.3842505187
73	0.3825992975
74	0.3819574028
75	0.3797437828
76	0.3780630376
77	0.3775697343
78	0.3769931824
79	0.3750161839
80	0.3735167087
81	0.3714890003
82	0.3710842657
83	0.3702146063
84	0.3687289565
85	0.3682415627
86	0.3678791416
87	0.3672760779
88	0.3662239622
89	0.3657733568
90	0.3643638381
91	0.3630426927
92	0.3615765204
93	0.3612489737
94	0.360744987
95	0.3601399337
96	0.3592139144
97	0.35859727
98	0.3576552269
99	0.3558258023
100	0.3552824256
101	0.3547047148
102	0.3521200727
103	0.3514148727
104	0.3495679595
105	0.3488641283
106	0.3485665974
107	0.3473138198
108	0.3460822322
109	0.3442394472
110	0.3438720094
111	0.3420138286
112	0.3402171679
113	0.3392448056
114	0.3379935257
115	0.3364842179
116	0.3342211513
117	0.3339409715
118	0.3334638636
119	0.3325746055
120	0.3320635386
121	0.3308625753
122	0.329722666
123	0.3292870131
124	0.328654379
125	0.3283406656
126	0.3270056209
127	0.3256552725
128	0.3247514797
129	0.324018876
130	0.3226833004
131	0.3217150705
132	0.3203851375
133	0.319216043
134	0.3187959932
135	0.3177973655
136	0.3170427079
137	0.3164474386
138	0.3160766931
139	0.3156917291
140	0.3147993059
141	0.3143542171
142	0.3135570964
143	0.3124392759
144	0.3119409815
145	0.3113459654
146	0.3097481901
147	0.3092526851
148	0.3089459814
149	0.3086404708
150	0.3084738552
151	0.3079833181
152	0.3070240303
153	0.3062222851
154	0.3058523856
155	0.3053657044
156	0.3040497464
157	0.3035361295
158	0.3032281897
159	0.3023806004
160	0.3013306396
161	0.3008180181
162	0.3000915487
163	0.29980255
164	0.29918406
165	0.2987382647
166	0.2983841932
167	0.2981448335
168	0.2978954376
169	0.2972461746
170	0.2970732811
171	0.2963074425
172	0.2960271449
173	0.295564392
174	0.2952192893
175	0.2946199598
176	0.2936519008
177	0.2934242905
178	0.2926416716
179	0.2924207563
180	0.2914461452
181	0.2912622343
182	0.2905500857
183	0.2901007886
184	0.2897477132
185	0.2895277885
186	0.2888393142
187	0.288657927
188	0.2881505492
189	0.2878808747
190	0.2867276792
191	0.2855462798
192	0.2853175402
193	0.2848255124
194	0.2845696598
195	0.2838986315
196	0.2836678946
197	0.282583132
198	0.2822502062
199	0.2819779606
200	0.2816524143
201	0.2812866776
202	0.2810410101
203	0.2808075328
204	0.2802761426
205	0.2800365658
206	0.2796259347
207	0.2793341483
208	0.2790161133
209	0.2783732473
210	0.2780185859
211	0.2773471249
212	0.2772490869
213	0.2769368508
214	0.2766849955
215	0.2762644441
216	0.2761376581
217	0.2758600238
218	0.2752726808
219	0.2749536967
220	0.274763307
221	0.2745233629
222	0.2742687321
223	0.2739863718
224	0.2737335002
225	0.2734676819
226	0.273202776
227	0.2729217749
228	0.2725384033
229	0.2720033812
230	0.2712010032
231	0.2709345958
232	0.27015623
233	0.2693960622
234	0.2692630122
235	0.269043174
236	0.2688175529
237	0.2681075519
238	0.2677446256
239	0.2675029839
240	0.2672500238
241	0.2668948524
242	0.2665185733
243	0.2658844918
244	0.2657337918
245	0.2654775548
246	0.2650993533
247	0.2648158913
248	0.2644043306
249	0.2637391133
250	0.2634281627
251	0.2632534951
252	0.2624781849
253	0.2622772952
254	0.2621665134
255	0.261837832
256	0.2615231634
257	0.2612471318
258	0.2610014025
259	0.2607560578
260	0.2605315193
261	0.2602420071
262	0.2600020266
263	0.259702363
264	0.2595064865
265	0.2592877119
266	0.2590534139
267	0.2587390666
268	0.2585037737
269	0.2583999517
270	0.2582709422
271	0.2578806714
272	0.2574989662
273	0.2572358739
274	0.2570352051
275	0.2568825656
276	0.2566032804
277	0.2563926501
278	0.2558290469
279	0.2553262213
280	0.2550733789
281	0.2545913133
282	0.2543498226
283	0.2541320848
284	0.2539712793
285	0.2535827928
286	0.2531140187
287	0.2529207292
288	0.2523691789
289	0.2519247681
290	0.2514796294
291	0.2511263508
292	0.2509943786
293	0.2509344767
294	0.2507179757
295	0.2503623545
296	0.2497885377
297	0.2495351507
298	0.2494460572
299	0.2489502933
300	0.2488497711
301	0.2487093998
302	0.2484730841
303	0.248280138
304	0.2480096211
305	0.2478176245
306	0.247345779
307	0.2471144467
308	0.2470131403
309	0.2468170491
310	0.2460299228
311	0.2459218476
312	0.2457571367
313	0.2455290791
314	0.2453162319
315	0.2450551484
316	0.244575333
317	0.2442579048
318	0.2440462234
319	0.2438300969
320	0.2433327236
321	0.2429281406
322	0.2425772053
323	0.2421835491
324	0.241755789
325	0.2414365516
326	0.2409952598
327	0.2407705188
328	0.2406095866
329	0.2403310781
330	0.2402039785
331	0.239792794
332	0.2396910139
333	0.2395095757
334	0.2393853117
335	0.2392089996
336	0.2389631343
337	0.238358898
338	0.2380928283
339	0.2377639335
340	0.2375715515
341	0.2373250523
342	0.2370857748
343	0.2368387669
344	0.2364110238
345	0.2361280741
346	0.2360151959
347	0.2356370059
348	0.2355129257
349	0.2352095089
350	0.2350621873
351	0.2347327479
352	0.2345636517
353	0.2343731937
354	0.2342342371
355	0.2341105877
356	0.233727395
357	0.2336328598
358	0.2333945382
359	0.2329346297
360	0.2325972542
361	0.2323752413
362	0.231790085
363	0.2315790403
364	0.2313404341
365	0.2311830432
366	0.2310949084
367	0.2308795921
368	0.2304408404
369	0.2301232544
370	0.2299008471
371	0.2295732494
372	0.2293685415
373	0.2289335403
374	0.2286434974
375	0.228485407
376	0.2282516881
377	0.2275764019
378	0.227171884
379	0.2269948336
380	0.2268244271
381	0.2265825784
382	0.2261239912
383	0.2260483286
384	0.2256235176
385	0.2255363782
386	0.2251798665
387	0.2249914899
388	0.2248105432
389	0.2245432454
390	0.2244129515
391	0.2242026427
392	0.2241016656
393	0.2238646966
394	0.2235714767
395	0.2233103651
396	0.2231818876
397	0.2229163469
398	0.2227243806
399	0.2225530284
400	0.22237518
401	0.2222645549
402	0.2218530187
403	0.2216845145
404	0.2213862252
405	0.2210303322
406	0.2207722951
407	0.2205931234
408	0.2202259838
409	0.2200496914
410	0.2198901332
411	0.2197734955
412	0.2194736003
413	0.219365332
414	0.2192262693
415	0.2186922659
416	0.2185236739
417	0.2183606407
418	0.2179671598
419	0.217547083
420	0.2174073616
421	0.2173116702
422	0.2171249183
423	0.2166867468
424	0.2164706347
425	0.2161667538
426	0.2159746857
427	0.2157688465
428	0.2155740402
429	0.2153922394
430	0.2149559094
431	0.214807107
432	0.2145868577
433	0.2142661543
434	0.2140883338
435	0.2138234891
