iter	Passed	Remaining
0	145	145649
1	154	77334
2	165	55054
3	174	43570
4	184	36796
5	196	32479
6	207	29405
7	216	26863
8	226	24905
9	236	23396
10	246	22192
11	256	21090
12	267	20272
13	279	19672
14	290	19057
15	300	18469
16	309	17922
17	319	17418
18	330	17053
19	340	16695
20	350	16363
21	361	16053
22	371	15788
23	383	15605
24	395	15412
25	405	15202
26	418	15068
27	430	14955
28	441	14771
29	451	14596
30	462	14449
31	472	14289
32	482	14149
33	494	14040
34	509	14036
35	519	13916
36	532	13848
37	545	13811
38	556	13724
39	567	13625
40	580	13575
41	593	13535
42	606	13492
43	617	13418
44	628	13341
45	643	13347
46	655	13281
47	668	13251
48	681	13235
49	694	13186
50	704	13110
51	726	13241
52	743	13293
53	757	13275
54	772	13280
55	787	13273
56	799	13229
57	811	13179
58	824	13147
59	836	13104
60	848	13058
61	861	13026
62	873	12988
63	886	12971
64	900	12952
65	914	12939
66	927	12915
67	939	12874
68	968	13067
69	985	13095
70	998	13060
71	1010	13023
72	1024	13013
73	1036	12973
74	1047	12920
75	1061	12906
76	1074	12884
77	1090	12889
78	1102	12858
79	1114	12820
80	1127	12793
81	1139	12753
82	1151	12719
83	1169	12750
84	1185	12758
85	1198	12732
86	1210	12698
87	1225	12696
88	1240	12698
89	1255	12694
90	1268	12675
91	1281	12652
92	1294	12623
93	1306	12588
94	1319	12570
95	1333	12555
96	1347	12539
97	1363	12553
98	1377	12537
99	1392	12529
100	1404	12497
101	1416	12470
102	1429	12452
103	1443	12435
104	1459	12444
105	1474	12439
106	1491	12450
107	1510	12478
108	1525	12468
109	1538	12447
110	1554	12453
111	1567	12424
112	1578	12388
113	1592	12378
114	1604	12349
115	1618	12334
116	1631	12311
117	1645	12300
118	1659	12283
119	1671	12259
120	1686	12251
121	1704	12263
122	1718	12256
123	1730	12228
124	1742	12196
125	1755	12179
126	1772	12181
127	1785	12166
128	1801	12163
129	1816	12156
130	1828	12127
131	1840	12102
132	1853	12083
133	1866	12061
