Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Home Ownership_Have Mortgage,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Term_Long Term,Term_Short Term
482087.0,6,0.0,11.0,26.3,685960.0,1.0,1.0,99999999.0,47386.0,7914.0,749.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1025487.0,10,0.0,15.0,15.3,1181730.0,0.0,0.0,264968.0,394972.0,18373.0,737.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
751412.0,8,0.0,11.0,35.0,1182434.0,0.0,0.0,99999999.0,308389.0,13651.0,742.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
805068.0,6,0.0,8.0,22.5,147400.0,1.0,1.0,121396.0,95855.0,11338.0,694.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
776264.0,8,0.0,13.0,13.6,385836.0,1.0,0.0,125840.0,93309.0,7180.0,719.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1511108.0,10,0.0,9.0,20.3,388124.0,0.0,0.0,99999999.0,51623.0,2317.0,745.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1040060.0,10,0.0,13.0,12.0,330374.0,0.0,0.0,250888.0,89015.0,19761.0,705.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1828560.0,4,0.0,12.0,17.6,839080.0,0.0,0.0,441100.0,402914.0,15528.0,737.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
933432.0,10,0.0,8.0,14.0,443608.0,0.0,0.0,337766.0,315305.0,19446.0,706.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2066364.0,10,0.0,11.0,17.7,1654026.0,0.0,0.0,549780.0,1037077.0,21869.0,728.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2258796.0,7,0.0,11.0,17.7,1602546.0,0.0,0.0,185262.0,1374327.0,58352.0,748.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
848464.0,10,0.0,9.0,18.4,296186.0,0.0,0.0,145134.0,41439.0,12939.0,727.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3361898.0,3,0.0,14.0,28.5,1042096.0,0.0,0.0,498872.0,689396.0,52249.0,644.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1401744.0,2,0.0,9.0,29.0,387222.0,0.0,0.0,553586.0,201989.0,13434.0,695.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1020072.0,2,0.0,6.0,12.5,199078.0,0.0,0.0,309672.0,120517.0,14451.0,712.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1651993.0,10,0.0,11.0,26.5,663894.0,0.0,0.0,585090.0,252852.0,8742.0,697.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1047394.0,6,0.0,7.0,34.4,401104.0,0.0,0.0,324852.0,183597.0,7786.0,719.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
463790.0,6,0.0,6.0,28.3,288442.0,0.0,0.0,99999999.0,157700.0,5063.0,738.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1353142.0,10,0.0,3.0,29.8,1231912.0,0.0,0.0,108042.0,1036279.0,22225.0,720.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
951425.0,2,0.0,20.0,15.8,748880.0,0.0,0.0,66110.0,285874.0,17046.0,742.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1004055.0,8,0.0,7.0,14.5,328394.0,0.0,0.0,99999999.0,195966.0,6041.0,734.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
711094.0,10,0.0,12.0,19.5,533808.0,0.0,0.0,155782.0,262314.0,13807.0,740.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
612750.0,7,0.0,8.0,14.0,225016.0,1.0,1.0,99999999.0,147687.0,6128.0,719.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1289796.0,10,0.0,11.0,20.5,845548.0,0.0,0.0,99999999.0,640433.0,26549.0,708.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1526840.0,10,0.0,19.0,25.0,1303082.0,0.0,0.0,265188.0,495178.0,28247.0,726.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1899050.0,3,0.0,6.0,10.2,802692.0,0.0,0.0,43978.0,550430.0,21839.0,722.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1395645.0,6,0.0,15.0,17.6,1480182.0,0.0,0.0,120670.0,58805.0,10200.0,750.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
852017.0,7,3.0,12.0,7.6,337722.0,3.0,0.0,175384.0,160417.0,21868.0,727.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
