iter	Logloss
0	0.6783899161
1	0.6674060978
2	0.6574674676
3	0.6471841969
4	0.6397330415
5	0.6309200843
6	0.622411358
7	0.6167629158
8	0.6075685131
9	0.5983938239
10	0.5908819731
11	0.5855334475
12	0.5806669178
13	0.5736930795
14	0.5674132874
15	0.5598857747
16	0.553927765
17	0.5499964965
18	0.5461932593
19	0.540715604
20	0.5353770668
21	0.5287587171
22	0.5232865523
23	0.5208535836
24	0.5160436367
25	0.5105394888
26	0.5058525786
27	0.5037423357
28	0.5020836685
29	0.5001052358
30	0.4983743929
31	0.4942197741
32	0.4898066199
33	0.4882765666
34	0.4848778395
35	0.4816725334
36	0.4786127839
37	0.4750017684
38	0.4718049725
39	0.4693802722
40	0.4678514117
41	0.4653809182
42	0.4631040268
43	0.4612065166
44	0.4585119425
45	0.4579897478
46	0.4544871932
47	0.4521130502
48	0.4498936016
49	0.4475239165
50	0.4464522227
51	0.4444674824
52	0.4429195599
53	0.4413550125
54	0.4405444153
55	0.4387172882
56	0.4378332179
57	0.4368670713
58	0.4349952776
59	0.4336331397
60	0.4330223955
61	0.43059252
62	0.4291686632
63	0.4283177245
64	0.4278493405
65	0.4262911726
66	0.4244669308
67	0.422940632
68	0.4216833799
69	0.4194640555
70	0.4180279607
71	0.4179614381
72	0.4172824739
73	0.4159193563
74	0.4150936088
75	0.4133059946
76	0.4116061345
77	0.4106630696
78	0.4096786114
79	0.4090399072
80	0.4080776367
81	0.4068704054
82	0.4064664598
83	0.4054628334
84	0.4038974162
85	0.4026695519
86	0.4021386034
87	0.4016242966
88	0.4005608724
89	0.4001696872
90	0.3989195974
91	0.3983588617
92	0.3978672398
93	0.3968236043
94	0.396140098
95	0.395489656
96	0.3943941626
97	0.393401516
98	0.3928491
99	0.3902200331
100	0.3897733624
101	0.3890092425
102	0.3884342755
103	0.3880060991
104	0.3875728359
105	0.386859921
106	0.386781243
107	0.3860265329
108	0.3843964563
109	0.3839132957
110	0.3831164435
111	0.3821348085
112	0.3802615246
113	0.3799108056
114	0.379888108
115	0.3790375648
116	0.3779517281
117	0.3775498958
118	0.3770183232
119	0.3763984477
120	0.3759162578
121	0.3749999115
122	0.3746273274
123	0.3745292696
124	0.3742377475
125	0.3735431237
126	0.372486605
127	0.3718135879
128	0.3712487531
129	0.3706826947
130	0.3703275284
131	0.3699547911
132	0.3692188044
133	0.3683534896
134	0.3680345277
135	0.3678357903
136	0.3674171197
137	0.3669284873
138	0.3667095538
139	0.3660146752
140	0.3655231423
141	0.3649887304
142	0.3644601041
143	0.3640750644
144	0.3638871244
145	0.3636268044
146	0.3629251219
147	0.362355978
148	0.361728555
149	0.3614169017
150	0.360723711
151	0.3599197178
152	0.3591853108
153	0.3588120067
154	0.3578211324
155	0.3574090233
156	0.3559033187
157	0.3553149383
158	0.3545922339
159	0.3542158734
160	0.3531881768
161	0.3527656443
162	0.3522863893
163	0.3519193714
164	0.3514913616
165	0.3511129047
166	0.3504817955
167	0.3495604925
168	0.3491626624
169	0.3478940668
170	0.3471607278
171	0.3465850276
172	0.3456727484
173	0.3449042196
174	0.3440810847
175	0.3435825611
176	0.3432320497
177	0.3422892403
178	0.3419228616
179	0.3416610637
180	0.3413670615
181	0.3404783452
182	0.3401124644
183	0.3397832177
184	0.3393155968
185	0.3385073133
186	0.3381381628
187	0.3377313394
188	0.3374357741
189	0.3370526889
190	0.3366817781
191	0.3364024901
192	0.3360337409
193	0.3355702186
194	0.3349585179
195	0.3347670261
196	0.3342660402
197	0.3340183139
198	0.3337941352
199	0.3332635561
200	0.3327352883
201	0.3321651209
202	0.3313938548
203	0.3311995489
204	0.330978743
205	0.3298467959
206	0.3293428124
207	0.3291285099
208	0.3284066927
209	0.3279829068
210	0.3275585165
211	0.3273574723
212	0.3271176081
213	0.3265117003
214	0.3261899715
215	0.3255756383
216	0.3251549248
217	0.3246319261
218	0.3235525006
219	0.3231253042
220	0.3229587866
221	0.3224860998
222	0.3218183278
223	0.321083388
224	0.3209766315
225	0.3208197268
226	0.3199831989
227	0.3196932624
228	0.3193914623
229	0.3186879952
230	0.3179955747
231	0.3177669243
232	0.317620396
233	0.3171821897
234	0.3161054604
235	0.3158627275
236	0.3154386785
237	0.3152042247
238	0.3147612129
239	0.3140751482
240	0.3135943459
241	0.3130058986
242	0.3129003296
243	0.3127116862
244	0.3122470251
245	0.3120913674
246	0.311668152
247	0.311319227
248	0.3108673491
249	0.3106054075
250	0.3103619479
251	0.3098823224
252	0.3089167031
253	0.3081715468
254	0.3075542063
255	0.3072230124
256	0.3069806513
257	0.3060580008
258	0.3056230892
259	0.3047208326
260	0.3043312505
261	0.3039424899
262	0.3034111366
263	0.3029429351
264	0.3027281964
265	0.3024927186
266	0.3019432675
267	0.3016617672
268	0.3013133475
269	0.3007124356
270	0.30029023
271	0.2995953987
272	0.2991838032
273	0.2990662385
274	0.2987151175
275	0.2979827776
276	0.2977607281
277	0.2972630932
278	0.2970481479
279	0.2965071514
280	0.2963337598
281	0.2958499804
282	0.2955510251
283	0.2951476344
284	0.2947790357
285	0.2944496107
286	0.2936528501
287	0.2932903565
288	0.2928423729
289	0.2923685731
290	0.2921130227
291	0.2917832515
292	0.2914984707
293	0.2913030048
294	0.2909824836
295	0.2908151573
296	0.2904784286
297	0.2898911823
298	0.289600039
299	0.2893982903
300	0.2890437694
301	0.2887132199
302	0.2880134731
303	0.2870430765
304	0.2867417333
305	0.2865354421
306	0.2862751879
307	0.2858713234
308	0.2854222463
309	0.2850494146
310	0.2845116237
311	0.2842830939
312	0.2842166268
313	0.2839509322
314	0.283519293
315	0.2834126463
316	0.2830050428
317	0.2827596259
318	0.2826817772
319	0.2825113803
320	0.28200845
321	0.2818118333
322	0.2815475104
323	0.2813949654
324	0.2811073552
325	0.2809200752
326	0.2806072022
327	0.2803857908
328	0.2801601845
329	0.2798992372
330	0.2795959738
331	0.279255835
332	0.2791201892
333	0.2787848192
334	0.2782455789
335	0.2780472785
336	0.2777693291
337	0.2772916651
338	0.2771735611
339	0.2769547922
340	0.2765519489
341	0.2759803819
342	0.275692815
343	0.2753704813
344	0.2748539328
345	0.274585641
346	0.274037754
347	0.2738193822
348	0.2732958842
349	0.273005592
350	0.2727414128
351	0.2725489124
352	0.2723897875
353	0.2722212815
354	0.2720870251
355	0.2717171004
356	0.2710187353
357	0.2709538006
358	0.27077506
359	0.270660235
360	0.2704656689
361	0.2698418905
362	0.2697373008
363	0.2694837399
364	0.2692606015
365	0.2688828603
366	0.2686221287
367	0.2683872072
368	0.2682463604
369	0.2678991295
370	0.2675146409
371	0.2672631701
372	0.2671955245
373	0.2670330729
374	0.2667657259
375	0.2663406236
376	0.266074019
377	0.2659078936
378	0.2651088833
379	0.2651008041
380	0.2649450915
381	0.2648300566
382	0.2644776627
383	0.2642159471
384	0.2640038924
385	0.2637974154
386	0.2635623047
387	0.2633941627
388	0.2630533941
389	0.2628005314
390	0.2626335242
391	0.2624151507
392	0.2623038316
393	0.262020768
394	0.2618230741
395	0.2616688603
396	0.2614203425
397	0.261011269
398	0.2608415079
399	0.2606562154
400	0.260595664
401	0.2603831717
402	0.2600425019
403	0.2599585787
404	0.2592865499
405	0.2589142806
406	0.2587137352
407	0.2582728095
408	0.2578842664
409	0.2578279183
410	0.2573882959
411	0.2573428539
412	0.2571872649
413	0.2567853002
414	0.2564623522
415	0.2561995866
416	0.2557992631
417	0.2556356255
418	0.2555560993
419	0.2552759851
420	0.2551436617
421	0.254878063
422	0.2547310874
423	0.2544539106
424	0.2542982699
425	0.2540620512
426	0.2538573815
427	0.2536668733
428	0.2532443226
429	0.2530031309
430	0.2528703022
431	0.2526359314
432	0.2524404177
433	0.2519966328
434	0.2516395287
435	0.2515197206
436	0.2511867199
437	0.2510808872
438	0.2508878864
439	0.2506675215
440	0.2503746581
441	0.2502019886
442	0.2498142553
443	0.2495688124
444	0.2494643792
445	0.2491837877
446	0.2488105229
447	0.2486613181
448	0.2484423022
449	0.248146824
450	0.2478586051
451	0.2477180852
452	0.2476306615
453	0.2474135208
454	0.2470483768
455	0.2470126307
456	0.2469304832
457	0.2467331002
458	0.2461223871
459	0.2460812293
460	0.2459084457
461	0.2457363775
462	0.2455859184
463	0.2449684439
464	0.2446291027
465	0.2443297566
466	0.2441807011
467	0.2440937563
468	0.2440074145
469	0.2438199281
470	0.2434525254
471	0.2430700978
472	0.2429202035
473	0.2426198366
474	0.2425430378
475	0.2422234031
476	0.2420164831
477	0.2416485732
478	0.2411095621
479	0.2409403425
480	0.2406123272
481	0.2405440977
482	0.2401337705
483	0.2398220715
484	0.2395385107
485	0.2393032633
486	0.2391435511
487	0.2390478846
488	0.2388562523
489	0.2388215237
490	0.2384776283
491	0.2382601775
492	0.2379192162
493	0.2378377067
494	0.2375847897
495	0.2374056156
496	0.2372444012
497	0.236968981
498	0.2366309531
499	0.2364339553
500	0.2361839433
501	0.235963536
502	0.2358991077
503	0.2357334923
504	0.2355755755
505	0.2352822972
506	0.2351905808
507	0.2351128913
508	0.2348602063
509	0.2345718254
510	0.2344350594
511	0.2343802706
512	0.2342556174
513	0.2341800843
514	0.234164398
515	0.2340639745
516	0.233599494
517	0.2331136465
518	0.2329097851
519	0.2325995115
520	0.2323321648
521	0.2320002167
522	0.2316733749
523	0.2313320538
524	0.2310013442
525	0.23090442
526	0.230778005
527	0.2305230689
528	0.2303948008
529	0.2302055502
530	0.2299796586
531	0.2297461307
532	0.2297060801
533	0.2295328943
534	0.2293798067
535	0.229227059
536	0.2289888212
537	0.2287804673
538	0.2285850839
539	0.228404629
540	0.228315045
541	0.2281188311
542	0.2280176593
543	0.2276427598
544	0.2274846149
545	0.2273698035
546	0.2271015483
547	0.2269156755
548	0.2268611842
549	0.2267329444
550	0.2266063372
551	0.2264135124
552	0.2261870733
553	0.225709402
554	0.2255213689
555	0.2253519468
556	0.2251361095
557	0.2249684544
558	0.2246664038
559	0.2242611735
560	0.2240527733
561	0.2239870528
562	0.2237604522
563	0.2237113641
564	0.2235731466
565	0.223285354
566	0.2231030949
567	0.222984551
568	0.2228245425
569	0.222506197
570	0.2223883256
571	0.2221849763
572	0.221972335
573	0.2218400256
574	0.2216786454
575	0.2215401912
576	0.2215347697
577	0.2213751533
578	0.221112271
579	0.2208203898
580	0.2207004094
581	0.2204008529
582	0.2202829102
583	0.2199465709
584	0.2198091652
585	0.2196196054
586	0.219425891
587	0.2192403231
588	0.2191638755
589	0.2190681665
590	0.218915184
591	0.218860058
592	0.2187424427
593	0.2183601669
594	0.2182492716
595	0.218131857
596	0.2178018575
597	0.2177405185
598	0.2176634868
599	0.2172800353
600	0.2170604864
601	0.2168161272
602	0.216747911
603	0.2165479809
604	0.2164695484
605	0.2161234057
606	0.2159580881
607	0.2157909313
608	0.215625155
609	0.2153439027
610	0.2152236119
611	0.2150262402
612	0.2149863319
613	0.214840695
614	0.2144170425
615	0.2142947748
616	0.2141881133
617	0.2141236733
618	0.2139179122
619	0.2135397337
620	0.2132426598
621	0.213192192
622	0.213087445
623	0.2130065397
624	0.2126503271
625	0.2124672571
626	0.2123271822
627	0.2122018068
628	0.2121291608
629	0.2119370114
630	0.2116606456
631	0.2114362006
632	0.2112625338
633	0.2111500289
634	0.2110576006
635	0.2109728977
636	0.2106993603
637	0.2105081834
638	0.210229792
639	0.2099090044
640	0.2095322026
641	0.209217525
642	0.2090424777
643	0.2088019742
644	0.2086522501
645	0.2084090832
646	0.2083206991
647	0.208125605
648	0.2078978172
649	0.207617368
650	0.2074269247
651	0.2072359318
652	0.2069836333
653	0.2066298915
654	0.2065083836
655	0.2064750391
656	0.2063203309
657	0.2061212492
658	0.2060330865
659	0.2059064091
660	0.2054731122
661	0.2050297396
662	0.2049748328
663	0.2048618889
664	0.204527691
665	0.2043738891
666	0.2043244361
667	0.204057941
668	0.2038944907
669	0.2038729363
670	0.2037609853
671	0.2035687183
672	0.203430467
673	0.203246276
674	0.2031103468
675	0.2028316184
676	0.2027384402
677	0.2025383144
678	0.2024355606
679	0.2021036009
680	0.2019400962
681	0.2015693722
682	0.2014835398
683	0.2013236622
684	0.2011900692
685	0.2009203811
686	0.200809141
687	0.2006099202
688	0.2003933338
689	0.2001915546
690	0.1997923469
691	0.1993351289
692	0.1992669835
693	0.1989904034
694	0.1988579058
695	0.198632722
696	0.1985857872
697	0.1984984585
698	0.1983234038
699	0.1982347605
700	0.1981423371
701	0.1979506317
702	0.1977745207
703	0.1975901635
704	0.1975104988
705	0.1973165986
706	0.1972363805
707	0.1970741917
708	0.1970560764
709	0.1968961875
710	0.1967651601
711	0.1964980447
712	0.1962458189
713	0.1961094813
714	0.1958939291
715	0.195824961
716	0.195433546
717	0.1952968362
718	0.1950468416
719	0.1947202736
720	0.1946161744
721	0.1943149359
722	0.1941456984
723	0.194005416
724	0.1936720046
725	0.1935793714
726	0.1934258076
727	0.1932794422
728	0.1932234236
729	0.1930959753
730	0.1928803696
731	0.1927230449
732	0.1925809737
733	0.1924888565
734	0.1923253062
735	0.1922271626
736	0.1921080274
737	0.1920379631
738	0.191880213
739	0.1917086655
740	0.1915015065
741	0.1913628158
742	0.1912175424
743	0.1911814783
744	0.1909102753
745	0.190867732
746	0.1905962538
747	0.1904003063
748	0.1902089181
749	0.1901628577
750	0.1901078535
751	0.1899125819
752	0.1896065011
753	0.1894451002
754	0.1892974276
755	0.1890433037
756	0.1889279112
757	0.1887909766
758	0.1884786801
759	0.1882544907
760	0.1881542487
761	0.188024101
762	0.1878388336
763	0.1877070702
764	0.1874728167
765	0.187124453
766	0.1869240274
767	0.1866889761
768	0.1865636052
769	0.1864429612
770	0.186238512
771	0.1859500327
772	0.1858737887
773	0.1857957375
774	0.1856460443
775	0.1855099943
776	0.1853212434
777	0.1852102823
778	0.1851467507
779	0.1849595815
780	0.1847894401
781	0.1845288973
782	0.1842830429
783	0.1839079492
784	0.1837750547
785	0.1837204816
786	0.1835575505
787	0.1833892763
788	0.1831051708
789	0.1829886954
790	0.1828104994
791	0.182532694
792	0.1822600291
793	0.1821261811
794	0.1820617993
795	0.1818710776
796	0.1817268623
797	0.1816747597
798	0.1813457183
799	0.1812682019
800	0.1811062189
801	0.1810118347
802	0.1807964424
803	0.1805070868
804	0.1804057069
805	0.1801927593
806	0.180040587
807	0.1799576725
808	0.1798016211
809	0.1797221319
810	0.1795252367
811	0.1795062073
812	0.1793183418
813	0.1791032703
814	0.1788542115
815	0.1786974897
816	0.1784777652
817	0.1783542004
818	0.1783090238
819	0.177963269
820	0.1776920612
821	0.1775357901
822	0.1774199895
823	0.17734309
824	0.1772944239
825	0.177176037
826	0.1770369236
827	0.1769738955
828	0.1768855191
829	0.1766960361
830	0.1765154964
831	0.1764061158
832	0.1763481868
833	0.1760388431
834	0.1758900401
835	0.1755946322
836	0.1754449568
837	0.1753152422
838	0.17524199
839	0.1750412555
840	0.1749394053
841	0.1747784595
842	0.1745655553
843	0.1744231707
844	0.1743308457
845	0.1741908314
846	0.1740384809
847	0.173963635
848	0.1736612076
849	0.1734685075
850	0.1733325302
851	0.173282935
852	0.1732093342
853	0.1730281097
854	0.1727129949
855	0.1726762376
856	0.1725604545
857	0.1724458751
858	0.1723013378
859	0.1722032138
860	0.1720200804
861	0.1717430697
862	0.1716571428
863	0.1715101498
864	0.1713451102
865	0.1712732433
866	0.1710714447
867	0.1709625169
868	0.1708635362
869	0.1707198119
870	0.1706337672
871	0.1704728275
872	0.1703623393
873	0.1702491859
874	0.1701674492
875	0.1699883293
876	0.1698571214
877	0.169826511
878	0.1697007836
879	0.1694983643
880	0.1693512579
881	0.1692227838
882	0.1689228178
883	0.1687127335
884	0.1685180626
885	0.1684160811
886	0.1682064091
887	0.1681400595
888	0.1679294492
889	0.1677031999
890	0.1675892288
891	0.1673977482
892	0.1670604479
893	0.1669226414
894	0.1668280312
895	0.1667971681
896	0.1666775529
897	0.166585536
898	0.1665290213
899	0.1664339633
900	0.1663723456
901	0.1663208938
902	0.1662239656
903	0.1661175641
904	0.1660710336
905	0.1659410592
906	0.1658528466
907	0.1657705791
908	0.1656517827
909	0.1654056716
910	0.1652586142
911	0.16497815
912	0.1649530751
913	0.1648586669
914	0.1646120478
915	0.1643942161
916	0.1643495544
917	0.1642015083
918	0.1638894525
919	0.163812177
920	0.163681202
921	0.1635124031
922	0.1634666445
923	0.1632451041
924	0.1630894643
925	0.1629835491
926	0.1628319143
927	0.1628005355
928	0.1625040557
929	0.1623878006
930	0.1622810376
931	0.1621194079
932	0.1620461118
933	0.1618416717
934	0.1618061293
935	0.1616998696
936	0.161648522
937	0.161576751
938	0.1614674785
939	0.1613678787
940	0.1611651016
941	0.1611596135
942	0.1608912769
943	0.1607004475
944	0.1604486028
945	0.1603673978
946	0.1603097858
947	0.1601769066
948	0.1600778207
949	0.159994949
950	0.1597120888
951	0.1596500801
952	0.159588736
953	0.1594846166
954	0.1594048954
955	0.1592788363
956	0.1590985806
957	0.1589504267
958	0.1588669725
959	0.1588514993
960	0.1587446741
961	0.1587385771
962	0.1585940921
963	0.1585573592
964	0.1584818513
965	0.1583203158
966	0.1582862563
967	0.1582273153
968	0.1581620113
969	0.1581153026
970	0.1580130569
971	0.1578111146
972	0.1575984836
973	0.1573132108
974	0.1570765701
975	0.1568990615
976	0.1568683337
977	0.1567306039
978	0.1566298104
979	0.1564698001
980	0.156312126
981	0.1561894492
982	0.1560199473
983	0.1559658181
984	0.1557881985
985	0.1556909955
986	0.1554381372
987	0.1553087783
988	0.1551768037
989	0.1549782958
990	0.1547148339
991	0.1546262399
992	0.1545017582
993	0.1543888012
994	0.1542259604
995	0.1541364213
996	0.1539560706
997	0.1538687918
998	0.1537814068
999	0.1536459309
